Feature,Importance
Tags_Will revert after reading the email,0.3991581703197147
Engagement_Score,0.09855246347482768
Total Time Spent on Website,0.08862825765034492
Tags_Closed by Horizzon,0.08402782901042592
Tags_Lost to EINS,0.05412883455070702
Tags_Ringing,0.036373848772266695
Lead Origin_Lead Add Form,0.033336778893403585
Last Notable Activity_SMS Sent,0.025307921578982765
Tags_Unknown,0.023679584404334784
Asymmetrique Activity Score,0.014318117207133095
Tags_Busy,0.012009189558754177
Last Activity_SMS Sent,0.01167418030653372
What matters most to you in choosing a course_Unknown,0.011507682254814454
Lead Source_Reference,0.010743164287344136
Page Views Per Visit,0.006842341837547839
Tags_Interested in other courses,0.006658856203962978
High_Engagement_Time,0.0064502447753404316
TotalVisits,0.006344787847552025
Tags_Other,0.006224096355763091
What is your current occupation_Working Professional,0.005114976177497802
Tags_switched off,0.004989939197209837
What is your current occupation_Unknown,0.004811529327517988
Last Notable Activity_Modified,0.004782180804542414
What is your current occupation_Unemployed,0.004326007322760648
Asymmetrique Profile Score,0.0029084960715409737
Contact_Restricted,0.001971998134453743
Country_Unknown,0.0018056743759612896
Do Not Email,0.001766991055094772
Specialization_Marketing Management,0.0015340774728589003
Last Activity_Email Opened,0.001513679832021893
Lead Origin_Landing Page Submission,0.0014842080415806789
Specialization_Business Administration,0.0014759805390474185
Lead Source_Olark Chat,0.0013887196702659563
Specialization_Supply Chain Management,0.0013047029481940173
Specialization_Unknown,0.0011427188688340872
Specialization_Finance Management,0.0010986031190882168
Asymmetrique Profile Index_Unknown,0.0010409417652548017
City_Other Cities of Maharashtra,0.0010332675510541268
Asymmetrique Activity Index_Unknown,0.001030667158435696
Asymmetrique Activity Index_02.Medium,0.0010168485025382195
City_Unknown,0.0010107757577655506
A free copy of Mastering The Interview,0.0009603597359530541
Last Activity_Page Visited on Website,0.0009329446172026672
Lead Source_Organic Search,0.0009214974533918992
Specialization_Human Resource Management,0.0008489085057543142
City_Other Cities,0.0008151082943232025
Lead Source_Google,0.0007458151100580031
City_Other Metro Cities,0.0007300359468061716
Specialization_International Business,0.0006693358291492513
City_Tier II Cities,0.0006257634572018193
Asymmetrique Activity Index_03.Low,0.0005969980439433561
Last Activity_Olark Chat Conversation,0.000573254256569994
Last Notable Activity_Page Visited on Website,0.0005559083050102353
Last Activity_Email Bounced,0.0005497326508868423
Visit_Category_Low (1-2),0.0005295574844111247
What is your current occupation_Student,0.0004708103299968533
Specialization_Media and Advertising,0.0004500433617821282
Specialization_Travel and Tourism,0.00044160976490943823
Lead Source_Other,0.0004368104327517004
Asymmetrique Profile Index_02.Medium,0.00042851797274705175
Specialization_IT Projects Management,0.0004252974459130263
Visit_Category_Medium (3-10),0.0004236044169826618
City_Thane & Outskirts,0.0004218555244567541
Specialization_Operations Management,0.0003314851036145037
Last Activity_Email Link Clicked,0.00033054124350491106
Specialization_Other,0.00029425247492846727
Last Notable Activity_Other,0.0002882705131388433
Last Activity_Other,0.00026472306806030855
Country_Other,0.00017735047784190548
Lead Origin_Lead Import,0.0001349158461005892
Through Recommendations,3.7277966339784365e-05
What matters most to you in choosing a course_Flexibility & Convenience,2.9805042485803338e-05
Asymmetrique Profile Index_03.Low,2.3012184105324735e-05
What is your current occupation_Other,1.526415640479559e-05
What is your current occupation_Housewife,0.0
Search,0.0
Magazine,0.0
Newspaper Article,0.0
Digital Advertisement,0.0
X Education Forums,0.0
Do Not Call,0.0
Newspaper,0.0
Receive More Updates About Our Courses,0.0
Update me on Supply Chain Content,0.0
I agree to pay the amount through cheque,0.0
What matters most to you in choosing a course_Other,0.0
Get updates on DM Content,0.0
